int_time      x             tau           rho           u             mdot          T             H2            H             O             O2            OH            H2O           HO2           H2O2          C             CH            CH2           CH2*          CH3           CH4           CO            CO2           HCO           CH2O          CH2OH         CH3O          CH3OH         C2H           C2H2          C2H3          C2H4          C2H5          C2H6          HCCO          CH2CO         HCCOH         AR            C2H3O         N2            C2O           C3H2          C3H3          PC3H4         AC3H4         C4H           C4H2          H2C4O         N-C4H3        I-C4H3        C4H4          N-C4H5        I-C4H5        C4H6          C4H612        C5H2          C5H3          C6H           C6H2          C6H3          L-C6H4        C-C6H4        N-C6H5        I-C6H5        L-C6H6        N-C6H7        I-C6H7        C-C6H7        C6H8          A1            A1-           C6H5O         C6H5OH        C5H6          C5H5          C5H5O         C5H4OH        C5H4O         N-A1C2H2      I-A1C2H2      A1C2H3        A1C2H3*       A1C2H         A1C2H*        A1C2H-        A1C2H)2       A2            A2-1          A2-2          NAPHTHYNE     A2C2HA        A2C2HB        A2C2HA*       A2C2HB*       A2C2H2        A2C2H)2       A3-1          A3-4          A3            A3C2H         A3C2H2        A4            P2            P2-           P2-H          A4-           A2R5          A2R5-         sumfracs      
1.000000e+05  0.000000e+00  0.000000e+00  7.737199e-02  6.940496e-01  5.370000e-02  3.000000e+02  1.881514e-01  1.067348e-07  5.224210e-09  3.553156e-01  2.965592e-06  4.358297e-02  9.926502e-05  4.356151e-05  2.188641e-22  1.414246e-16  2.490400e-10  4.781067e-11  1.708961e-05  2.937682e-03  3.651539e-02  2.703482e-03  1.036009e-08  4.832887e-04  2.021133e-10  1.149678e-04  1.645525e-04  1.229529e-11  1.037021e-02  3.297823e-09  3.572666e-01  1.485263e-04  1.216828e-03  5.201346e-09  5.937660e-04  3.002672e-06  4.984580e-24  4.820958e-05  1.553109e-24  1.252298e-11  3.460670e-12  8.960234e-07  4.408488e-06  3.582355e-05  3.323211e-20  6.815892e-05  3.902700e-05  8.080755e-07  8.567605e-12  3.256413e-05  1.551940e-07  2.156848e-11  1.272639e-05  9.582507e-06  4.789955e-14  2.118832e-13  2.527157e-20  1.871804e-06  3.716166e-13  1.059155e-07  2.138183e-07  2.162028e-10  2.613281e-14  5.457037e-08  3.164954e-14  8.124265e-15  7.240311e-08  1.696926e-08  6.814975e-06  4.708468e-08  7.410643e-09  8.161797e-08  2.791752e-07  1.296449e-08  2.532288e-06  3.657898e-06  5.065525e-09  8.805424e-13  1.514887e-09  1.148156e-07  3.740611e-10  3.408777e-07  1.168886e-09  1.450751e-09  4.681186e-10  1.083778e-08  1.058194e-10  4.254639e-11  1.752690e-09  1.833531e-10  1.889524e-10  5.827899e-13  5.816235e-13  5.736305e-17  5.596588e-20  8.101667e-13  8.292110e-13  2.320935e-10  1.128005e-12  2.195714e-15  3.490788e-11  3.522652e-10  1.345405e-12  2.494573e-12  1.280508e-13  1.484038e-09  6.557133e-12  1.000000e+00  
1.000000e+05  5.000000e-05  7.079093e-05  7.602946e-02  7.063051e-01  5.370000e-02  3.028000e+02  1.926818e-01  1.083773e-07  5.615462e-09  3.466617e-01  3.192300e-06  4.848792e-02  1.113870e-04  4.891909e-05  2.363002e-22  1.512723e-16  2.767041e-10  5.312162e-11  1.903327e-05  3.272237e-03  4.100082e-02  3.156513e-03  1.213786e-08  5.669179e-04  2.370176e-10  1.348218e-04  1.935439e-04  1.420980e-11  1.199803e-02  3.821991e-09  3.489991e-01  1.749637e-04  1.435205e-03  5.721414e-09  7.131964e-04  3.606628e-06  5.623430e-24  5.795325e-05  1.741010e-24  1.459438e-11  4.057447e-12  1.088020e-06  5.358216e-06  4.354105e-05  4.215505e-20  8.652805e-05  5.004305e-05  1.026645e-06  1.088498e-11  4.140295e-05  1.974609e-07  2.744264e-11  1.620381e-05  1.220088e-05  6.128993e-14  2.712658e-13  3.251105e-20  2.409049e-06  4.784790e-13  1.387565e-07  2.811426e-07  2.833607e-10  3.425029e-14  7.155104e-08  4.151486e-14  1.065664e-14  9.532086e-08  2.226756e-08  8.968425e-06  6.193672e-08  9.804784e-09  1.080195e-07  3.579838e-07  1.661568e-08  3.336447e-06  4.819508e-06  6.671497e-09  1.231161e-12  2.118091e-09  1.605816e-07  5.230064e-10  4.678271e-07  1.603727e-09  1.990448e-09  6.730312e-10  1.558881e-08  1.521745e-10  6.118420e-11  2.519906e-09  2.720641e-10  2.803725e-10  8.646095e-13  8.628791e-13  8.513130e-17  8.699099e-20  1.259468e-12  1.289074e-12  3.608584e-10  1.807603e-12  3.518993e-15  5.593913e-11  5.163589e-10  1.971804e-12  3.657200e-12  2.051746e-13  2.202054e-09  9.727965e-12  1.000000e+00  
1.000000e+05  1.250000e-04  1.723284e-04  7.403227e-02  7.253594e-01  5.370000e-02  3.070000e+02  1.994649e-01  1.756897e-07  8.296346e-09  3.326430e-01  4.436510e-06  5.654954e-02  1.285703e-04  5.578522e-05  1.473382e-21  5.602603e-16  6.397044e-10  1.031729e-10  2.717137e-05  3.825044e-03  4.848331e-02  3.941205e-03  2.084603e-08  7.077367e-04  4.276123e-10  1.710328e-04  2.436887e-04  2.747638e-11  1.479473e-02  5.772348e-09  3.355198e-01  2.289922e-04  1.816601e-03  1.140128e-08  9.261466e-04  4.684375e-06  5.706236e-24  7.534514e-05  1.969202e-24  3.013217e-11  8.416833e-12  1.556394e-06  7.056447e-06  5.746578e-05  1.050920e-19  1.218731e-04  7.037792e-05  1.442394e-06  2.402993e-11  5.811296e-05  2.863769e-07  5.881711e-11  2.279267e-05  1.711129e-05  1.415606e-13  7.823558e-13  9.070033e-20  3.457223e-06  1.131681e-12  2.028018e-07  4.128935e-07  4.256843e-10  7.733933e-14  1.046947e-07  8.952528e-14  2.408805e-14  1.402217e-07  3.261744e-08  1.318499e-05  9.125325e-08  1.413602e-08  1.604180e-07  5.096304e-07  2.960251e-08  4.370306e-06  6.199171e-06  9.819789e-09  3.494148e-12  3.376336e-09  2.554895e-07  8.286818e-10  7.273454e-07  2.479511e-09  3.081206e-09  1.112176e-09  2.577779e-08  2.515218e-10  1.006437e-10  4.164479e-09  4.684606e-10  4.827663e-10  1.478466e-12  1.475688e-12  1.571137e-16  1.854500e-19  2.287562e-12  2.341532e-12  6.598780e-10  3.434987e-12  6.688301e-15  1.063068e-10  8.743417e-10  3.317640e-12  6.087406e-12  3.873184e-13  3.791509e-09  1.667180e-11  1.000000e+00  
1.000000e+05  1.750000e-04  2.368944e-04  7.269274e-02  7.387257e-01  5.370000e-02  3.098000e+02  2.040234e-01  2.639234e-07  1.144197e-08  3.220379e-01  5.823609e-06  6.275357e-02  1.411149e-04  6.033629e-05  6.656788e-21  1.626731e-15  1.245326e-09  1.773727e-10  3.620633e-05  4.253218e-03  5.435498e-02  4.590313e-03  3.187124e-08  8.232477e-04  6.745978e-10  2.012850e-04  2.853333e-04  4.543502e-11  1.708002e-02  8.052590e-09  3.252456e-01  2.774821e-04  2.136043e-03  1.952429e-08  1.109293e-03  5.611804e-06  5.699553e-24  9.033501e-05  2.121448e-24  5.254232e-11  1.494368e-11  2.036348e-06  8.533683e-06  6.964381e-05  2.059191e-19  1.550889e-04  8.909776e-05  1.830463e-06  4.376109e-11  7.365508e-05  3.733968e-07  1.046981e-10  2.893576e-05  2.165724e-05  2.686302e-13  1.785480e-12  2.157587e-19  4.460360e-06  2.194981e-12  2.648151e-07  5.410632e-07  5.685476e-10  1.429413e-13  1.368226e-07  1.588437e-13  4.455344e-14  1.839702e-07  4.266076e-08  1.729074e-05  1.198943e-07  1.814145e-08  2.120780e-07  6.531232e-07  4.563557e-08  5.130917e-06  7.140756e-06  1.288931e-08  8.543473e-12  4.704542e-09  3.553986e-07  1.147804e-09  9.944756e-07  3.371686e-09  4.195172e-09  1.592332e-09  3.692695e-08  3.601990e-10  1.434430e-10  5.962976e-09  6.921568e-10  7.132931e-10  2.169806e-12  2.165901e-12  2.441558e-16  3.091922e-19  3.517827e-12  3.601155e-12  1.021345e-09  5.478296e-12  1.066839e-14  1.695530e-10  1.275134e-09  4.808147e-12  8.727476e-12  6.138648e-13  5.601800e-09  2.452275e-11  1.000000e+00  
1.000000e+05  2.250000e-04  2.989619e-04  7.135225e-02  7.526041e-01  5.370000e-02  3.126000e+02  2.085818e-01  4.346709e-07  1.682453e-08  3.105029e-01  8.009754e-06  6.956924e-02  1.544291e-04  6.446315e-05  4.010518e-20  5.687344e-15  2.659978e-09  3.330317e-10  5.033552e-05  4.726213e-03  6.090499e-02  5.341618e-03  5.145045e-08  9.558341e-04  1.118535e-09  2.359396e-04  3.335126e-04  7.860768e-11  1.970261e-02  1.187413e-08  3.139648e-01  3.378144e-04  2.508507e-03  3.610334e-08  1.327316e-03  6.716699e-06  5.627858e-24  1.082295e-04  2.265514e-24  9.670211e-11  2.855164e-11  2.724987e-06  1.030242e-05  8.431676e-05  4.241226e-19  1.975675e-04  1.122438e-04  2.322362e-06  8.425233e-11  9.325422e-05  4.887297e-07  1.962368e-10  3.669813e-05  2.734730e-05  5.515515e-13  4.496245e-12  6.737054e-19  5.760660e-06  4.651024e-12  3.454042e-07  7.082011e-07  7.603734e-10  2.782046e-13  1.786093e-07  2.950604e-13  8.677478e-14  2.410816e-07  5.573376e-08  2.264798e-05  1.573809e-07  2.299725e-08  2.802852e-07  8.369458e-07  7.215050e-08  5.809987e-06  7.864379e-06  1.689883e-08  2.580560e-11  6.547965e-09  4.936412e-07  1.584382e-09  1.357972e-06  4.569749e-09  5.696229e-09  2.276545e-09  5.282621e-08  5.152015e-10  2.038025e-10  8.526554e-09  1.021221e-09  1.052405e-09  3.172039e-12  3.166453e-12  3.794168e-16  4.912485e-19  5.389572e-12  5.518041e-12  1.578489e-09  8.723508e-12  1.699081e-14  2.700145e-10  1.856515e-09  6.939090e-12  1.241131e-11  9.693600e-13  8.264628e-09  3.596591e-11  1.000000e+00  
1.000000e+05  2.750000e-04  3.549375e-04  6.930960e-02  7.747844e-01  5.370000e-02  3.186000e+02  2.131155e-01  7.884433e-07  2.680771e-08  2.980088e-01  1.146331e-05  7.701034e-02  1.691654e-04  6.798321e-05  3.149972e-19  2.334245e-14  6.049083e-09  6.759612e-10  7.254550e-05  5.246103e-03  6.817927e-02  6.206433e-03  8.790111e-08  1.107523e-03  1.921377e-09  2.743300e-04  3.887679e-04  1.397638e-10  2.269649e-02  1.924093e-08  3.015994e-01  4.118951e-04  2.939523e-03  7.223705e-08  1.585356e-03  8.025923e-06  5.493320e-24  1.294985e-04  2.400901e-24  1.857240e-10  5.842461e-11  3.732568e-06  1.240568e-05  1.018961e-04  1.084233e-18  2.518444e-04  1.404032e-04  2.943747e-06  1.783477e-10  1.178282e-04  6.406034e-07  3.990205e-10  4.645234e-05  3.440138e-05  1.283841e-12  1.239283e-11  2.909866e-18  7.444603e-06  1.159291e-11  4.495335e-07  9.248672e-07  1.015728e-09  5.912457e-13  2.326473e-07  5.710945e-13  1.845333e-13  3.151884e-07  7.265280e-08  2.959640e-05  2.061297e-07  2.865515e-08  3.699619e-07  1.071594e-06  1.154448e-07  6.295636e-06  8.177572e-06  2.210539e-08  9.190500e-11  9.092575e-09  6.837935e-07  2.175453e-09  1.849597e-06  6.162159e-09  7.701313e-09  3.245322e-09  7.535870e-08  7.351439e-10  2.881297e-10  1.215803e-08  1.502260e-09  1.548132e-09  4.608887e-12  4.600453e-12  5.552325e-16  7.468562e-19  8.207913e-12  8.405518e-12  2.431867e-09  1.384448e-11  2.697001e-14  4.285749e-10  2.694326e-09  9.947773e-12  1.746040e-11  1.521610e-12  1.215700e-08  5.250088e-11  1.000000e+00  
1.000000e+05  3.250000e-04  4.034852e-04  6.666817e-02  8.054818e-01  5.370000e-02  3.278000e+02  2.175859e-01  1.600065e-06  4.644841e-08  2.845929e-01  1.699209e-05  8.504248e-02  1.861520e-04  7.073253e-05  3.327953e-18  1.137370e-13  1.455656e-08  1.473995e-09  1.078473e-04  5.812157e-03  7.618919e-02  7.191542e-03  1.580839e-07  1.279580e-03  3.407642e-09  3.147347e-04  4.510870e-04  2.543539e-10  2.608036e-02  3.416512e-08  2.881295e-01  5.011854e-04  3.431102e-03  1.558585e-07  1.887410e-03  9.561348e-06  5.300331e-24  1.545449e-04  2.526926e-24  3.719480e-10  1.277657e-10  5.240078e-06  1.487538e-05  1.227274e-04  3.399707e-18  3.208831e-04  1.737470e-04  3.723308e-06  4.176915e-10  1.482975e-04  8.384831e-07  8.760673e-10  5.857628e-05  4.299502e-05  3.498232e-12  3.731796e-11  1.545381e-17  9.615345e-06  3.910568e-11  5.825843e-07  1.202525e-06  1.350469e-09  1.359257e-12  3.017528e-07  1.125599e-12  4.244665e-13  4.102206e-07  9.430596e-08  3.850452e-05  2.687892e-07  3.482010e-08  4.867769e-07  1.368619e-06  1.841787e-07  6.515652e-06  7.970175e-06  2.878926e-08  3.435676e-10  1.256712e-08  9.422400e-07  2.960963e-09  2.506688e-06  8.240741e-09  1.033853e-08  4.599936e-09  1.069027e-07  1.044264e-09  4.039740e-10  1.723970e-08  2.196784e-09  2.263862e-09  6.628177e-12  6.614319e-12  7.772865e-16  1.061820e-18  1.237278e-11  1.267536e-11  3.722648e-09  2.182134e-11  4.251910e-14  6.756374e-10  3.886268e-09  1.409982e-11  2.416139e-11  2.363915e-12  1.777640e-08  7.602222e-11  1.000000e+00  
1.000000e+05  3.750000e-04  4.480215e-04  6.415668e-02  8.370134e-01  5.370000e-02  3.370000e+02  2.219743e-01  3.617827e-06  8.848359e-08  2.702520e-01  2.602650e-05  9.365583e-02  2.067114e-04  7.259850e-05  4.634168e-17  6.531853e-13  3.694920e-08  3.437457e-09  1.651825e-04  6.425165e-03  8.496949e-02  8.306524e-03  2.984556e-07  1.473942e-03  6.267807e-09  3.543610e-04  5.201515e-04  4.778659e-10  2.988340e-02  6.498170e-08  2.734865e-01  6.067356e-04  3.983636e-03  3.607922e-07  2.238610e-03  1.135257e-05  5.054114e-24  1.839015e-04  2.643751e-24  7.866723e-10  3.000163e-10  7.575926e-06  1.774565e-05  1.472203e-04  1.125911e-17  4.088380e-04  2.119644e-04  4.702402e-06  1.119052e-09  1.857970e-04  1.094676e-06  2.050142e-09  7.353922e-05  5.327917e-05  1.234963e-11  1.236901e-10  9.267431e-17  1.241766e-05  1.917566e-10  7.513337e-07  1.555565e-06  1.783258e-09  3.283228e-12  3.894763e-07  2.205212e-12  1.025869e-12  5.310342e-07  1.218130e-07  4.983375e-05  3.487912e-07  4.087104e-08  6.381517e-07  1.742983e-06  2.888837e-07  6.452384e-06  7.242694e-06  3.730322e-08  1.255875e-09  1.728197e-08  1.290444e-06  3.986650e-09  3.377565e-06  1.090903e-08  1.376570e-08  6.476156e-09  1.506617e-07  1.477928e-09  5.608479e-10  2.428682e-08  3.189975e-09  3.287380e-09  9.409293e-12  9.384023e-12  1.151616e-15  1.388569e-18  1.841672e-11  1.887852e-11  5.655601e-09  3.411727e-11  6.649570e-14  1.056654e-09  5.565075e-09  1.967772e-11  3.267466e-11  3.626622e-12  2.581167e-08  1.090667e-10  1.000000e+00  
1.000000e+05  4.250000e-04  4.673359e-04  5.904927e-02  9.094101e-01  5.370000e-02  3.622000e+02  2.262025e-01  8.820720e-06  1.915081e-07  2.552628e-01  4.081058e-05  1.026439e-01  2.333424e-04  7.342899e-05  7.302797e-16  4.029190e-12  9.243746e-08  8.484742e-09  2.598277e-04  7.073641e-03  9.438818e-02  9.536740e-03  6.074695e-07  1.688388e-03  1.161803e-08  3.876581e-04  5.930030e-04  8.816575e-10  3.405522e-02  1.534871e-07  2.578984e-01  7.250893e-04  4.578290e-03  8.844690e-07  2.636079e-03  1.339340e-05  4.765551e-24  2.174946e-04  2.749761e-24  1.725167e-09  7.573551e-10  1.131409e-05  2.097050e-05  1.752041e-04  8.272668e-17  5.193410e-04  2.526797e-04  5.920932e-06  4.995781e-09  2.307018e-04  1.417077e-06  6.151713e-09  9.151631e-05  6.502928e-05  6.665012e-11  4.556683e-10  5.961508e-16  1.598465e-05  1.166728e-09  9.594724e-07  1.991919e-06  2.326452e-09  9.780087e-12  4.977783e-07  4.198956e-12  3.062963e-12  6.799755e-07  1.557956e-07  6.383511e-05  4.487843e-07  4.559053e-08  8.294024e-07  2.203105e-06  4.368439e-07  6.077350e-06  6.023562e-06  4.784749e-08  4.321180e-09  2.353587e-08  1.745741e-06  5.278347e-09  4.498156e-06  1.421857e-08  1.810448e-08  8.994889e-09  2.095292e-07  2.080361e-09  7.669871e-10  3.376696e-08  4.566604e-09  4.706050e-09  1.308701e-11  1.303576e-11  1.500330e-15  1.872928e-18  2.686861e-11  2.757015e-11  8.458703e-09  5.245900e-11  1.022717e-13  1.625441e-09  7.855982e-09  2.674215e-11  4.260324e-11  5.453936e-12  3.694799e-08  1.542663e-10  1.000000e+00  
1.000000e+05  4.750000e-04  4.830842e-04  5.461394e-02  9.832654e-01  5.370000e-02  3.874000e+02  2.302267e-01  2.235691e-05  4.422743e-07  2.398552e-01  6.458201e-05  1.118288e-01  2.669199e-04  7.331230e-05  1.187886e-14  2.616190e-11  2.337272e-07  2.139949e-08  4.140280e-04  7.746382e-03  1.043271e-01  1.086648e-02  1.277651e-06  1.919895e-03  2.198846e-08  4.089503e-04  6.651009e-04  1.649066e-09  3.854561e-02  3.750857e-07  2.415740e-01  8.487579e-04  5.183655e-03  2.180498e-06  3.076240e-03  1.568324e-05  4.446797e-24  2.549703e-04  2.845157e-24  4.051887e-09  2.027264e-09  1.745968e-05  2.445883e-05  2.062894e-04  5.568328e-16  6.566379e-04  2.923674e-04  7.452730e-06  3.300140e-08  2.832444e-04  1.808724e-06  2.111124e-08  1.126270e-04  7.778803e-05  4.469916e-10  1.821193e-09  3.913565e-15  2.047279e-05  6.562539e-09  1.210029e-06  2.517877e-06  2.964880e-09  2.944759e-11  6.283152e-07  7.170883e-12  9.342874e-12  8.570219e-07  1.967751e-07  8.070031e-05  5.728014e-07  4.780979e-08  1.065233e-06  2.753160e-06  6.194017e-07  5.500091e-06  4.596687e-06  6.058738e-08  1.303402e-08  3.171797e-08  2.324261e-06  6.844027e-09  5.902320e-06  1.818676e-08  2.349659e-08  1.227713e-08  2.864184e-07  2.928523e-09  1.030962e-09  4.615981e-08  6.418927e-09  6.614927e-09  1.772685e-11  1.761867e-11  2.605475e-15  2.415400e-18  3.823139e-11  3.929595e-11  1.239854e-08  7.893719e-11  1.538041e-13  2.447441e-09  1.088806e-08  3.503623e-11  5.221042e-11  8.003949e-12  5.192876e-08  2.149624e-10  1.000000e+00  
1.000000e+05  5.100000e-04  4.858963e-04  5.116203e-02  1.049607e+00  5.370000e-02  4.104000e+02  2.329220e-01  4.711821e-05  9.022570e-07  2.287247e-01  9.092702e-05  1.184129e-01  2.983070e-04  7.259473e-05  1.095369e-13  1.133339e-10  4.681764e-07  4.346224e-08  5.924647e-04  8.232353e-03  1.116823e-01  1.187124e-02  2.345185e-06  2.094208e-03  3.571972e-08  4.107726e-04  7.106096e-04  2.617500e-09  4.193325e-02  7.972704e-07  2.295876e-01  9.288941e-04  5.579509e-03  4.399478e-06  3.417292e-03  1.750713e-05  4.206107e-24  2.838392e-04  2.905805e-24  8.143225e-09  4.467378e-09  2.501809e-05  2.696759e-05  2.299619e-04  2.673612e-15  7.776071e-04  3.158142e-04  8.868137e-06  1.939730e-07  3.261320e-04  2.122842e-06  6.833372e-08  1.299149e-04  8.695449e-05  2.331282e-09  6.040112e-09  1.984765e-14  2.447352e-05  2.443708e-08  1.419945e-06  2.959017e-06  3.456297e-09  7.670099e-11  7.379899e-07  9.542839e-12  2.535543e-11  9.974751e-07  2.312054e-07  9.482243e-05  6.859593e-07  4.715391e-08  1.267325e-06  3.202067e-06  7.570105e-07  4.978471e-06  3.574204e-06  7.130875e-08  2.836854e-08  3.941706e-08  2.832912e-06  8.186479e-09  7.123550e-06  2.157953e-08  2.838169e-08  1.523315e-08  3.557753e-07  3.837456e-09  1.275432e-09  5.737565e-08  8.141115e-09  8.389575e-09  2.179909e-11  2.159995e-11  4.678409e-15  2.810168e-18  4.901603e-11  5.049404e-11  1.621529e-08  1.052277e-10  2.040678e-13  3.264817e-09  1.365901e-08  4.145475e-11  5.626433e-11  1.052997e-11  6.584844e-08  2.745526e-10  1.000000e+00  
1.000000e+05  5.300000e-04  4.785170e-04  4.848371e-02  1.107589e+00  5.370000e-02  4.312000e+02  2.344063e-01  6.818400e-05  1.311056e-06  2.222761e-01  1.085573e-04  1.221998e-01  3.190076e-04  7.204911e-05  3.307399e-13  2.353619e-10  6.590915e-07  6.295059e-08  7.178289e-04  8.512989e-03  1.160156e-01  1.247132e-02  3.298390e-06  2.197471e-03  4.664882e-08  4.080229e-04  7.345345e-04  3.317161e-09  4.395331e-02  1.234946e-06  2.225705e-01  9.700180e-04  5.790970e-03  6.233153e-06  3.624158e-03  1.863590e-05  4.064920e-24  3.010712e-04  2.939698e-24  1.196264e-08  6.901750e-09  3.074675e-05  2.839190e-05  2.441024e-04  8.113612e-15  8.565207e-04  3.278542e-04  9.821346e-06  4.758664e-07  3.531444e-04  2.309185e-06  1.322342e-07  1.408116e-04  9.229939e-05  5.254611e-09  1.141028e-08  4.615156e-14  2.710365e-05  4.511412e-08  1.554142e-06  3.241883e-06  3.751361e-09  1.359119e-10  8.083921e-07  1.072087e-11  4.650280e-11  1.081972e-06  2.533036e-07  1.038698e-04  7.641984e-07  4.644089e-08  1.397958e-06  3.480276e-06  8.357018e-07  4.649080e-06  2.987916e-06  7.820070e-08  4.147605e-08  4.479374e-08  3.170131e-06  9.099783e-09  7.926783e-06  2.388022e-08  3.178896e-08  1.722799e-08  4.025602e-07  4.534265e-09  1.449764e-09  6.496438e-08  9.329009e-09  9.613508e-09  2.462176e-11  2.434210e-11  6.268309e-15  3.365259e-18  5.688690e-11  5.869509e-11  1.892660e-08  1.242552e-10  2.393651e-13  3.856731e-09  1.554977e-08  4.561442e-11  5.734747e-11  1.242703e-11  7.544412e-08  3.186019e-10  1.000000e+00  
1.000000e+05  5.500000e-04  4.717071e-04  4.605577e-02  1.165978e+00  5.370000e-02  4.520000e+02  2.358387e-01  9.857281e-05  1.918078e-06  2.158869e-01  1.286231e-04  1.259245e-01  3.421945e-04  7.138645e-05  1.008585e-12  4.882663e-10  9.209282e-07  9.039531e-08  8.668646e-04  8.788094e-03  1.203551e-01  1.307545e-02  4.692535e-06  2.300107e-03  6.130761e-08  4.012157e-04  7.547265e-04  4.186070e-09  4.599067e-02  1.932740e-06  2.155845e-01  1.002189e-03  5.970963e-03  8.735785e-06  3.834463e-03  1.981361e-05  3.923568e-24  3.180197e-04  2.971852e-24  1.768085e-08  1.069408e-08  3.805084e-05  2.968709e-05  2.580347e-04  2.414001e-14  9.418345e-04  3.372979e-04  1.087629e-05  1.116289e-06  3.812769e-04  2.481845e-06  2.529283e-07  1.521487e-04  9.734258e-05  1.169301e-08  2.185682e-08  1.113413e-13  2.995819e-05  8.075031e-08  1.694359e-06  3.539041e-06  4.016510e-09  2.463319e-10  8.825233e-07  1.149041e-11  8.782854e-11  1.160672e-06  2.765563e-07  1.133627e-04  8.543109e-07  4.556706e-08  1.535935e-06  3.760821e-06  9.087423e-07  4.311337e-06  2.446969e-06  8.546092e-08  5.883177e-08  5.090616e-08  3.530114e-06  1.011543e-08  8.783850e-06  2.644921e-08  3.570103e-08  1.938529e-08  4.530641e-07  5.414413e-09  1.652944e-09  7.319489e-08  1.063265e-08  1.095631e-08  2.776109e-11  2.736868e-11  8.682053e-15  3.988067e-18  6.605020e-11  6.828104e-11  2.195505e-08  1.457524e-10  2.763845e-13  4.525772e-09  1.760725e-08  5.003441e-11  5.633630e-11  1.468733e-11  8.596407e-08  3.715765e-10  1.000000e+00  
1.000000e+05  5.700000e-04  4.553922e-04  4.290274e-02  1.251668e+00  5.370000e-02  4.832000e+02  2.372108e-01  1.410720e-04  2.795023e-06  2.096161e-01  1.507953e-04  1.295482e-01  3.679920e-04  7.062498e-05  2.993340e-12  1.000169e-09  1.268778e-06  1.282056e-07  1.040886e-03  9.053345e-03  1.246605e-01  1.367724e-02  6.725211e-06  2.400192e-03  8.155438e-08  3.902729e-04  7.703093e-04  5.180287e-09  4.802533e-02  3.078573e-06  2.087053e-01  1.022253e-03  6.108889e-03  1.201354e-05  4.045854e-03  2.103763e-05  3.783581e-24  3.340486e-04  3.002159e-24  2.596938e-08  1.653672e-08  4.733445e-05  3.076860e-05  2.713794e-04  8.878702e-14  1.033286e-03  3.436538e-04  1.201193e-05  2.413756e-06  4.102719e-04  2.625096e-06  4.617041e-07  1.637960e-04  1.019099e-04  2.479760e-08  4.127802e-08  2.696442e-13  3.302691e-05  1.378552e-07  1.838139e-06  3.847283e-06  4.213673e-09  4.476499e-10  9.597147e-07  1.163388e-11  1.659761e-10  1.225338e-06  3.007403e-07  1.231966e-04  9.589776e-07  4.481132e-08  1.679566e-06  4.035147e-06  9.763750e-07  3.975009e-06  1.966240e-06  9.302004e-08  8.060364e-08  5.780968e-08  3.907901e-06  1.125732e-08  9.687235e-06  2.935689e-08  4.023156e-08  2.168520e-08  5.066969e-07  6.545654e-09  1.893451e-09  8.199606e-08  1.204263e-08  1.240777e-08  3.127309e-11  3.072470e-11  1.149137e-14  5.057896e-18  7.683106e-11  7.960766e-11  2.528506e-08  1.696586e-10  3.108325e-13  5.269866e-09  1.981243e-08  5.493471e-11  5.255534e-11  1.741183e-11  9.732234e-08  4.363571e-10  1.000000e+00  
1.000000e+05  5.900000e-04  4.409872e-04  4.013731e-02  1.337907e+00  5.370000e-02  5.144000e+02  2.385203e-01  1.983675e-04  4.023147e-06  2.034971e-01  1.746000e-04  1.330487e-01  3.962197e-04  6.978886e-05  8.553106e-12  2.000378e-09  1.731919e-06  1.781777e-07  1.238390e-03  9.305675e-03  1.289075e-01  1.427237e-02  9.602925e-06  2.496115e-03  1.099322e-07  3.754681e-04  7.808913e-04  6.377227e-09  5.004477e-02  4.833919e-06  2.019818e-01  1.027259e-03  6.197296e-03  1.614012e-05  4.256925e-03  2.230970e-05  3.645969e-24  3.483568e-04  3.030678e-24  3.773531e-08  2.528072e-08  5.900587e-05  3.156318e-05  2.837814e-04  2.978073e-13  1.130759e-03  3.467490e-04  1.316307e-05  4.658973e-06  4.399577e-04  2.723700e-06  7.718574e-07  1.756358e-04  1.058742e-04  4.932252e-08  7.535442e-08  6.460198e-13  3.630189e-05  2.211234e-07  1.982664e-06  4.164231e-06  4.263601e-09  7.825325e-10  1.039503e-06  1.133356e-11  2.998503e-10  1.264169e-06  3.256896e-07  1.332978e-04  1.079698e-06  4.452606e-08  1.827425e-06  4.295122e-06  1.040674e-06  3.648353e-06  1.553001e-06  1.008334e-07  1.058965e-07  6.541185e-08  4.297650e-06  1.254466e-08  1.063279e-05  3.267086e-08  4.544316e-08  2.411376e-08  5.628860e-07  8.017575e-09  2.180833e-09  9.130871e-08  1.355173e-08  1.395911e-08  3.519593e-11  3.443801e-11  1.534655e-14  6.420281e-18  8.956952e-11  9.304824e-11  2.890168e-08  1.959238e-10  3.329389e-13  6.086768e-09  2.214851e-08  6.076025e-11  4.552853e-11  2.071347e-11  1.094394e-07  5.164741e-10  1.000000e+00  
